unit_id,name
73502304,嘉藥學校財團法人嘉南藥理大學
3.71.4.3,連江縣莒光鄉公所
A.21.100.48,衛生福利部玉里醫院
3.13.15,經濟部標準檢驗局
3.1.11,內政部役政署
3.79.11.3,臺北市政府工務局公園路燈工程管理處
3.13.30.20,臺灣糖業股份有限公司休閒遊憩事業部
3.95.61,臺南市佳里區公所
3.80.53,桃園市平鎮區公所
A.25.9,國立臺灣博物館
A.27.3,科技部南部科學工業園區管理局
3.9.21,國立政治大學
3.80.8.53,桃園市新屋區新屋國民小學
3.80.5.70,桃園市立過嶺國民中學
3.76.48.62,南投縣信義鄉公所
3.13.32.16.2,台灣電力股份有限公司輸變電工程處南區施工處
3.71.3,連江縣政府
3.13.31.98,台灣電力股份有限公司高屏供電區營運處
3.82.54,新北市中和區公所
3.76.73.72,桃園大眾捷運股份有限公司
3.87.61,臺中市太平區公所
3.76.47.95.2,彰化縣立彰化藝術高級中學
3.80.11,桃園市政府工務局
3.92.34,國立宜蘭大學
3.13.50.49.4,台灣中油股份有限公司天然氣事業部台中液化天然氣廠
A.21.100.46,衛生福利部臺東醫院
3.79.12.42,臺北市立浩然敬老院
3.5.10.100,國防部軍備局生產製造中心
3.76.48.59,南投縣魚池鄉公所
5.4.30,臺灣臺東地方法院
3.15.8.5,交通部觀光局東部海岸國家風景區管理處
3.45.4.7,行政院農業委員會林務局臺東林區管理處
3.76.53,屏東縣政府
A.21.100.51,衛生福利部胸腔病院
3.45.21,行政院農業委員會農業試驗所
3.13.50.48.1,台灣中油股份有限公司煉製事業部桃園煉油廠
A.21.100.38,衛生福利部南投醫院
3.79.4.6,臺北市立動物園
A.7.32,臺灣土地銀行股份有限公司
3.87.70,臺中市大雅區公所
3.13.31.7,台灣電力股份有限公司桃園區營業處
3.15.12.2,交通部臺灣區國道新建工程局第二區工程處
3.9.20.1,國立臺灣大學醫學院附設醫院
A.9.6K,國立臺北商業大學
3.82.5.11,新北市立林口高級中學
A.21.100.23,衛生福利部臺南教養院
3.76.58.81,新竹市東區區公所
3.15.8.8,交通部觀光局花東縱谷國家風景區管理處
3.15.25.32,交通部公路總局新竹區監理所
3.10.35,國立嘉義大學
3.13.31.92,台灣電力股份有限公司新桃供電區營運處
3.97.66,高雄市林園區公所
3.76.50,嘉義縣政府
3.1.7,內政部建築研究所
17416729,康寧學校財團法人康寧大學
3.76.42.51,宜蘭縣宜蘭市公所
3.47.1,中央印製廠
5.4.61,臺灣高雄少年及家事法院
